DELIVERY_DATE,DELIVERY_HOUR,INTERVAL,ENGY
2015/1/2,3,10,6.99
2015/1/2,3,11,7.04
2015/1/2,3,12,7.04
2015/1/2,4,1,6.94
2015/1/2,4,2,6.99
2015/1/2,4,3,6.99
2015/1/2,4,4,7.04
2015/1/2,4,5,6.99
2015/1/2,4,6,7.04
2015/1/2,4,7,7.04
2015/1/2,4,8,8.48
2015/1/2,4,9,8.48
2015/1/2,4,10,7.04
2015/1/2,4,11,8.48
2015/1/2,4,12,8.48
2015/1/2,5,9,6.94
2015/1/2,5,10,6.94
2015/1/2,5,11,6.89
2015/1/2,5,12,6.99
2015/1/2,6,3,6.89
2015/1/2,6,4,7.04
2015/1/2,6,5,7.04
2015/1/2,6,6,8.53
2015/1/2,6,7,8.58
2015/1/2,6,8,12.25
2015/1/2,6,9,8.58
2015/1/2,6,10,12.25
2015/1/2,6,11,12.25
2015/1/2,6,12,12.5
2015/1/2,7,2,6.99
2015/1/2,7,3,7.04
2015/1/2,7,4,8.58
2015/1/2,7,5,12.23
2015/1/2,7,6,14.1
2015/1/2,7,7,14.12
2015/1/2,7,8,14.21
2015/1/2,7,9,14.22
2015/1/2,7,10,14.23
2015/1/2,7,11,14.29
2015/1/2,7,12,14.31
2015/1/2,8,1,12.48
2015/1/2,8,2,12.46
2015/1/2,8,3,12.5
2015/1/2,8,4,12.5
2015/1/2,8,5,12.5
2015/1/2,8,6,14.1
2015/1/2,8,7,14.21
2015/1/2,8,8,14.22
2015/1/2,8,9,14.23
2015/1/2,8,10,14.22
2015/1/2,8,11,14.31
2015/1/2,8,12,14.32
2015/1/2,9,1,14.22
2015/1/2,9,2,14.29
2015/1/2,9,3,14.29
2015/1/2,9,4,14.32
2015/1/2,9,5,14.3
2015/1/2,9,6,14.31
2015/1/2,9,7,14.29
2015/1/2,9,8,14.29
2015/1/2,9,9,14.31
2015/1/2,9,10,14.33
2015/1/2,9,11,14.33
2015/1/2,9,12,14.32
2015/1/2,10,1,14.35
2015/1/2,10,2,19.28
2015/1/2,10,3,19.28
2015/1/2,10,4,15.47
2015/1/2,10,5,15.47
2015/1/2,10,6,19.28
2015/1/2,10,7,19.09
2015/1/2,10,8,14.34
2015/1/2,10,9,14.34
2015/1/2,10,10,19.09
2015/1/2,10,11,14.35
2015/1/2,10,12,14.71
2015/1/2,11,1,14.35
2015/1/2,11,2,14.34
2015/1/2,11,3,14.33
2015/1/2,11,4,14.34
2015/1/2,11,5,14.31
2015/1/2,11,6,14.31
2015/1/2,11,7,14.32
2015/1/2,11,8,14.3
2015/1/2,11,9,14.3
2015/1/2,11,10,14.3
2015/1/2,11,11,14.23
2015/1/2,11,12,14.29
2015/1/2,12,1,14.33
2015/1/2,12,2,14.32
2015/1/2,12,3,14.31
2015/1/2,12,4,14.31
2015/1/2,12,5,14.3
2015/1/2,12,6,14.31
2015/1/2,12,7,14.31
2015/1/2,12,8,14.3
2015/1/2,12,9,14.29
2015/1/2,12,10,14.22
2015/1/2,12,11,14.21
2015/1/2,12,12,14.21
2015/1/2,13,1,14.29
2015/1/2,13,2,14.23
2015/1/2,13,3,14.29
2015/1/2,13,4,14.23
2015/1/2,13,5,14.23
2015/1/2,13,6,14.23
2015/1/2,13,7,14.22
2015/1/2,13,8,14.23
2015/1/2,13,9,14.23
2015/1/2,13,10,14.22
2015/1/2,13,11,14.22
2015/1/2,13,12,14.22
2015/1/2,14,1,14.21
2015/1/2,14,2,14.22
2015/1/2,14,3,14.22
2015/1/2,14,4,14.22
2015/1/2,14,5,14.21
2015/1/2,14,6,14.22
2015/1/2,14,7,14.3
2015/1/2,14,8,14.31
2015/1/2,14,9,14.32
2015/1/2,14,10,14.33
2015/1/2,14,11,14.34
2015/1/2,14,12,14.34
2015/1/2,15,1,20.8
2015/1/2,15,2,19.32
2015/1/2,15,3,23.5
2015/1/2,15,4,24.13
2015/1/2,15,5,25.33
2015/1/2,15,6,25.35
2015/1/2,15,7,19.09
2015/1/2,15,8,24.12
2015/1/2,15,9,25.35
2015/1/2,15,10,25.35
2015/1/2,15,11,26.11
2015/1/2,15,12,25.33
2015/1/2,16,1,24.95
2015/1/2,16,2,25.79
2015/1/2,16,3,25.8
2015/1/2,16,4,25.9
2015/1/2,16,5,25.81
2015/1/2,16,6,26.63
2015/1/2,16,7,26.63
2015/1/2,16,8,25.9
2015/1/2,16,9,27.34
2015/1/2,16,10,27.34
2015/1/2,16,11,27.42
2015/1/2,16,12,29.12
2015/1/2,17,1,14.35
2015/1/2,17,2,19.3
